formation_complement;Expérience professionnelle;Heure_travail_semaine;Taille_équipe;Taille_équipe_la_plus_ grande;Nombre_réunions_hebdo;Montant_annuel_budget_géré;Nombre_jours_formation ;Nombre_projets ;Universite_freq_encoded;Specialisation_freq_encoded;annee_experience_freq_encoded;type_emploi_freq_encoded;secteur_activite_freq_encoded;competence_professionnelle_freq_encoded;formation_complement_freq_encoded;salaire_freq_encoded;source_emploi_freq_encoded
1;15;60;280;289;2;4500000000;30;10;0.355140187;0.046728972;0.593457944;0.878504673;0.004672897;0.004672897;0.602803738;0.434579439;0.377358491
0;0;30;50;50;0;450000000;0;2;0.056074766;0.074766355;0.177570093;0.878504673;0.004672897;0.359813084;0.397196262;0.434579439;0.377358491
1;10;50;15;40;2;1000000000;120;3;0.355140187;0.074766355;0.593457944;0.878504673;0.088785047;0.359813084;0.602803738;0.434579439;0.377358491
0;6;40;0;5;1;0;5;3;0.355140187;0.004672897;0.593457944;0.878504673;0.004672897;0.018691589;0.397196262;0.434579439;0.004716981
0;1.5;40;1;1;1;0;0;0;0.009345794;0.205607477;0.196261682;0.878504673;0.004672897;0.037383178;0.397196262;0.434579439;0.377358491
0;0;35;0;0;2;0;30;0;0.355140187;0.08411215;0.177570093;0.878504673;0.004672897;0.359813084;0.397196262;0.434579439;0.377358491
1;1.5;40;0;1;3;0;0;2;0.355140187;0.205607477;0.196261682;0.878504673;0.009345794;0.018691589;0.602803738;0.252336449;0.377358491
1;4;40;23;23;7;9,00E+13;30;8;0.004672897;0.004672897;0.177570093;0.878504673;0.009345794;0.359813084;0.602803738;0.313084112;0.377358491
1;1.5;40;2;2;1;25000000;4;5;0.009345794;0.046728972;0.196261682;0.878504673;0.03271028;0.004672897;0.602803738;0.434579439;0.377358491
1;5;39;2;31;1;220000000;4;2;0.140186916;0.004672897;0.593457944;0.878504673;0.004672897;0.004672897;0.602803738;0.434579439;0.235849057
0;15;30;7;30;4;240000000;40;20;0.004672897;0.205607477;0.593457944;0.878504673;0.214953271;0.004672897;0.397196262;0.434579439;0.226415094
0;2;40;0;0;5;0;0;8;0.355140187;0.046728972;0.196261682;0.878504673;0.004672897;0.004672897;0.397196262;0.313084112;0.377358491
1;3;54;8;10;4;20000000;50;4;0.355140187;0.004672897;0.196261682;0.878504673;0.004672897;0.070093458;0.602803738;0.252336449;0.377358491
